customer_id,cohort,activity_month,months_since_sub,is_active,monthly_revenue,customer_type,plan_type,region,industry
CUST_00001,2024-04-01,2024-04-01,0,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2024-05-01,1,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2024-06-01,2,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2024-07-01,3,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2024-08-01,4,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2024-09-01,5,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2024-10-01,6,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2024-11-01,7,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2024-12-01,8,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-01-01,9,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-02-01,10,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-03-01,11,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-04-01,12,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-05-01,13,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-06-01,14,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-07-01,15,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-08-01,16,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-09-01,17,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-10-01,18,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-11-01,19,1,49,Mid-market,Basic,Europe,Finance
CUST_00001,2024-04-01,2025-12-01,20,1,49,Mid-market,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-04-01,0,1,29,SMB,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-05-01,1,1,29,SMB,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-06-01,2,1,29,SMB,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-07-01,3,1,29,SMB,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-08-01,4,1,29,SMB,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-09-01,5,1,29,SMB,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-10-01,6,1,29,SMB,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-11-01,7,1,29,SMB,Basic,Europe,Finance
CUST_00002,2025-04-01,2025-12-01,8,1,29,SMB,Basic,Europe,Finance
CUST_00003,2024-05-01,2024-05-01,0,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2024-06-01,1,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2024-07-01,2,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2024-08-01,3,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2024-09-01,4,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2024-10-01,5,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2024-11-01,6,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2024-12-01,7,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-01-01,8,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-02-01,9,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-03-01,10,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-04-01,11,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-05-01,12,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-06-01,13,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-07-01,14,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-08-01,15,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-09-01,16,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-10-01,17,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-11-01,18,1,299,SMB,Enterprise,Latin America,Education
CUST_00003,2024-05-01,2025-12-01,19,1,299,SMB,Enterprise,Latin America,Education
CUST_00004,2024-07-01,2024-07-01,0,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2024-08-01,1,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2024-09-01,2,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2024-10-01,3,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2024-11-01,4,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2024-12-01,5,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-01-01,6,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-02-01,7,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-03-01,8,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-04-01,9,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-05-01,10,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-06-01,11,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-07-01,12,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-08-01,13,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-09-01,14,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-10-01,15,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-11-01,16,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00004,2024-07-01,2025-12-01,17,1,999,Enterprise,Enterprise,Europe,Technology
CUST_00005,2025-07-01,2025-07-01,0,1,29,SMB,Basic,Latin America,Education
CUST_00005,2025-07-01,2025-08-01,1,1,29,SMB,Basic,Latin America,Education
CUST_00005,2025-07-01,2025-09-01,2,1,29,SMB,Basic,Latin America,Education
CUST_00006,2024-07-01,2024-07-01,0,1,29,SMB,Basic,Europe,Education
CUST_00006,2024-07-01,2024-08-01,1,1,29,SMB,Basic,Europe,Education
CUST_00006,2024-07-01,2024-09-01,2,1,29,SMB,Basic,Europe,Education
CUST_00006,2024-07-01,2024-10-01,3,1,29,SMB,Basic,Europe,Education
CUST_00006,2024-07-01,2024-11-01,4,1,29,SMB,Basic,Europe,Education
CUST_00006,2024-07-01,2024-12-01,5,1,29,SMB,Basic,Europe,Education
CUST_00006,2024-07-01,2025-01-01,6,1,29,SMB,Basic,Europe,Education
CUST_00007,2025-04-01,2025-04-01,0,1,49,Mid-market,Basic,Latin America,Technology
CUST_00007,2025-04-01,2025-05-01,1,1,49,Mid-market,Basic,Latin America,Technology
CUST_00007,2025-04-01,2025-06-01,2,1,49,Mid-market,Basic,Latin America,Technology
CUST_00007,2025-04-01,2025-07-01,3,1,49,Mid-market,Basic,Latin America,Technology
CUST_00007,2025-04-01,2025-08-01,4,1,49,Mid-market,Basic,Latin America,Technology
CUST_00007,2025-04-01,2025-09-01,5,1,49,Mid-market,Basic,Latin America,Technology
CUST_00007,2025-04-01,2025-10-01,6,1,49,Mid-market,Basic,Latin America,Technology
CUST_00008,2024-01-01,2024-01-01,0,1,49,Mid-market,Basic,North America,Finance
